,Country,Job Title,Rural,Quantity,Percentage
6955,Romania,Data Management Manager,Urban,7,7.25%
7214,Spain,Data Processing Clerk,Urban,7,7.25%
7550,Italy,Data Processing Control Clerk,Urban,7,7.25%
7908,Belgium,Data Capture Specialist,Urban,7,7.25%
8165,Poland,Data Capture Specialist,Urban,7,7.25%
8206,Greece,Data Abstractor,Urban,7,7.25%
8439,Poland,Data Management Manager,Urban,7,7.25%
8816,Bulgaria,Data Abstractor,Urban,7,7.25%
8855,Spain,Data Management Manager,Urban,7,7.25%
9200,Great Britain,Data Management Manager,Urban,7,7.25%
9212,Germany,Data Management Manager,Urban,7,7.25%
9313,Germany,Data Processing Control Clerk,Urban,7,7.25%
9328,Spain,Data Processing Clerk,Urban,7,7.25%
9344,Poland,Data Capture Specialist,Urban,7,7.25%
9598,Portugal,Data Processing Control Clerk,Urban,7,7.25%
0,Netherlands,Data Control Assistant,Urban,8,8.29%
131,Portugal,Data Capture Clerk,Urban,8,8.29%
140,Italy,Clinical Data Specialist,Urban,8,8.29%
255,Spain,Data Processing Auxiliary Equipment Operator,Urban,8,8.29%
458,Germany,Data Processing Auxiliary Equipment Operator,Urban,8,8.29%
531,Spain,Data Analyst,Urban,8,8.29%
687,Ireland,"Operations Officer, Afloat (Naval Tactical Data Systems)",Urban,8,8.29%
841,Romania,Crime Data Specialist,Urban,8,8.29%
1088,Italy,Data Capture Clerk,Rural,8,8.29%
1183,Great Britain,Data Analyst,Urban,8,8.29%
1290,Austria,Crime Data Specialist,Urban,8,8.29%
1497,Netherlands,Data Control Assistant,Urban,8,8.29%
1832,Italy,Data Capture Clerk,Urban,8,8.29%
1903,Latvia,Data Analyst,Urban,8,8.29%
2133,Italy,"Operations Officer, Afloat (Naval Tactical Data Systems)",Urban,8,8.29%
2178,Germany,Data Processing Auxiliary Equipment Operator,Urban,8,8.29%
2283,Germany,Data Control Clerk Supervisor,Urban,8,8.29%
2295,Bulgaria,Data Control Assistant,Urban,8,8.29%
2392,Czechia,Data Processing Auxiliary Equipment Operator,Urban,8,8.29%
2413,Great Britain,Data Processing Auxiliary Equipment Operator,Urban,8,8.29%
2432,Italy,Data Processing Auxiliary Equipment Operator,Urban,8,8.29%
2628,Spain,"Operations Officer, Afloat (Naval Tactical Data Systems)",Urban,8,8.29%
2813,France,Clinical Data Specialist,Urban,8,8.29%
2852,Spain,Data Processing Supervisor,Urban,8,8.29%
2884,Spain,Crime Data Specialist,Urban,8,8.29%
3044,Great Britain,Crime Data Specialist,Urban,8,8.29%
3059,Portugal,Data Capture Clerk,Urban,8,8.29%
3133,Croatia,"Operations Officer, Afloat (Naval Tactical Data Systems)",Urban,8,8.29%
3173,Portugal,Clinical Data Specialist,Urban,8,8.29%
3190,Czechia,Data Control Assistant,Urban,8,8.29%
3279,Italy,"Operations Officer, Afloat (Naval Tactical Data Systems)",Urban,8,8.29%
3376,Great Britain,Data Processing Supervisor,Rural,8,8.29%
3710,Italy,Data Control Clerk Supervisor,Urban,8,8.29%
3752,Germany,Crime Data Specialist,Urban,8,8.29%
3845,Italy,Data Analyst,Urban,8,8.29%
4012,Italy,Data Control Clerk Supervisor,Urban,8,8.29%
4122,France,"Operations Officer, Afloat (Naval Tactical Data Systems)",Urban,8,8.29%
4215,Spain,Scientific Database Curator,Urban,8,8.29%
4472,Sweden,Crime Data Specialist,Urban,8,8.29%
4704,Italy,Data Control Assistant,Urban,8,8.29%
4715,Great Britain,Data Analyst,Urban,8,8.29%
4797,France,Data Control Clerk Supervisor,Urban,8,8.29%
5082,Italy,Data Processing Supervisor,Urban,8,8.29%
5098,Netherlands,Data Control Clerk Supervisor,Urban,8,8.29%
5301,Hungary,Data Processing Supervisor,Urban,8,8.29%
5321,Spain,Data Processing Auxiliary Equipment Operator,Urban,8,8.29%
5367,Hungary,"Operations Officer, Afloat (Naval Tactical Data Systems)",Rural,8,8.29%
5511,Poland,Clinical Data Specialist,Urban,8,8.29%
5517,France,Crime Data Specialist,Urban,8,8.29%
5568,Poland,Scientific Database Curator,Urban,8,8.29%
5574,Italy,Data Capture Clerk,Urban,8,8.29%
6064,Hungary,Data Processing Auxiliary Equipment Operator,Urban,8,8.29%
6159,Spain,Clinical Data Specialist,Urban,8,8.29%
6334,Spain,Scientific Database Curator,Urban,8,8.29%
6345,Hungary,Data Capture Clerk,Urban,8,8.29%
6350,Italy,Data Control Assistant,Urban,8,8.29%
6867,Poland,Data Control Assistant,Urban,8,8.29%
6946,Ireland,Data Control Clerk Supervisor,Urban,8,8.29%
6948,Italy,Scientific Database Curator,Urban,8,8.29%
7174,Germany,Data Processing Supervisor,Rural,8,8.29%
7389,Netherlands,Data Control Clerk Supervisor,Urban,8,8.29%
7431,Austria,Clinical Data Specialist,Rural,8,8.29%
7433,Italy,Data Analyst,Urban,8,8.29%
7469,France,Scientific Database Curator,Urban,8,8.29%
7517,Great Britain,Clinical Data Specialist,Urban,8,8.29%
7557,Poland,Data Capture Clerk,Urban,8,8.29%
7691,Italy,Clinical Data Specialist,Urban,8,8.29%
7746,Spain,Data Processing Supervisor,Urban,8,8.29%
7923,Belgium,Crime Data Specialist,Urban,8,8.29%
7942,Poland,Data Capture Clerk,Urban,8,8.29%
7975,Italy,Scientific Database Curator,Urban,8,8.29%
8018,Spain,Data Control Clerk Supervisor,Urban,8,8.29%
8127,France,Scientific Database Curator,Urban,8,8.29%
8308,Italy,"Operations Officer, Afloat (Naval Tactical Data Systems)",Rural,8,8.29%
8418,Netherlands,Data Analyst,Urban,8,8.29%
8536,Italy,Scientific Database Curator,Urban,8,8.29%
8558,France,Data Control Assistant,Urban,8,8.29%
9055,Poland,Data Processing Supervisor,Urban,8,8.29%
9165,Estonia,Data Processing Supervisor,Urban,8,8.29%
9583,Great Britain,Data Analyst,Urban,8,8.29%
32,Germany,Maintenance Data Analyst,Urban,9,9.33%
77,Poland,Reference Data Expert,Urban,9,9.33%
291,Spain,Data Collector,Rural,9,9.33%
487,France,Maintenance Data Analyst,Urban,9,9.33%
595,Germany,Data Keyer,Urban,9,9.33%
954,Poland,Data Entry Operator,Urban,9,9.33%
1218,Great Britain,Data Entry Operator,Urban,9,9.33%
1238,France,Clinical Data Analyst,Urban,9,9.33%
1379,France,Reference Data Expert,Rural,9,9.33%
1410,Italy,Data Collector,Urban,9,9.33%
1676,Netherlands,Data Technician,Rural,9,9.33%
1713,Belgium,Reference Data Expert,Urban,9,9.33%
2056,Italy,Clinical Data Analyst,Urban,9,9.33%
2102,Great Britain,Data Entry Operator,Urban,9,9.33%
2146,Spain,Data Entry Operator,Urban,9,9.33%
2216,Romania,Clinical Data Analyst,Urban,9,9.33%
2354,Ireland,Reference Data Expert,Urban,9,9.33%
2489,Austria,Data Keyer,Urban,9,9.33%
2539,Germany,Data Keyer,Urban,9,9.33%
2555,Germany,Clinical Data Analyst,Urban,9,9.33%
2604,Hungary,Data Keyer,Urban,9,9.33%
2616,Spain,Data Technician,Urban,9,9.33%
2756,Denmark,Data Keyer,Urban,9,9.33%
2891,Germany,Clinical Data Analyst,Urban,9,9.33%
2924,Germany,Data Technician,Urban,9,9.33%
3005,Poland,Clinical Data Analyst,Urban,9,9.33%
3020,Poland,Data Collector,Urban,9,9.33%
3042,Poland,Clinical Data Analyst,Urban,9,9.33%
3215,Sweden,Data Entry Operator,Urban,9,9.33%
3225,Spain,Data Keyer,Urban,9,9.33%
3314,Netherlands,Data Collector,Urban,9,9.33%
3384,Spain,Maintenance Data Analyst,Urban,9,9.33%
3587,Italy,Data Collector,Urban,9,9.33%
3738,Poland,Data Technician,Urban,9,9.33%
3846,France,Maintenance Data Analyst,Urban,9,9.33%
4077,Czechia,Data Technician,Urban,9,9.33%
4120,Great Britain,Data Technician,Urban,9,9.33%
4920,Italy,Data Entry Operator,Urban,9,9.33%
5233,Lithuania,Maintenance Data Analyst,Urban,9,9.33%
5407,Great Britain,Data Entry Operator,Urban,9,9.33%
5562,Great Britain,Data Keyer,Urban,9,9.33%
5667,Austria,Maintenance Data Analyst,Urban,9,9.33%
6930,France,Data Technician,Urban,9,9.33%
7053,Portugal,Data Collector,Urban,9,9.33%
7244,Netherlands,Reference Data Expert,Urban,9,9.33%
7279,Romania,Reference Data Expert,Urban,9,9.33%
7404,Belgium,Data Collector,Urban,9,9.33%
7676,Spain,Reference Data Expert,Urban,9,9.33%
7873,Great Britain,Maintenance Data Analyst,Urban,9,9.33%
7957,Romania,Data Entry Operator,Urban,9,9.33%
8083,Spain,Data Technician,Urban,9,9.33%
8156,Poland,Clinical Data Analyst,Urban,9,9.33%
8315,Great Britain,Data Collector,Urban,9,9.33%
8358,Great Britain,Data Entry Operator,Urban,9,9.33%
8366,France,Data Collector,Urban,9,9.33%
8535,Czechia,Maintenance Data Analyst,Urban,9,9.33%
8541,Czechia,Data Keyer,Urban,9,9.33%
8702,Spain,Reference Data Expert,Urban,9,9.33%
8859,Romania,Reference Data Expert,Urban,9,9.33%
8950,Greece,Data Keyer,Urban,9,9.33%
9169,France,Clinical Data Analyst,Urban,9,9.33%
9469,Italy,Data Technician,Urban,9,9.33%
9592,Great Britain,Maintenance Data Analyst,Urban,9,9.33%
59,Italy,Datastage Developer,Urban,10,10.36%
128,Hungary,Data Specialist,Urban,10,10.36%
180,Germany,Datastage Developer,Urban,10,10.36%
287,Netherlands,Data Entry Associate,Urban,10,10.36%
336,Poland,Data Entry Associate,Rural,10,10.36%
353,Greece,Data Entry Technician,Urban,10,10.36%
377,Poland,Datastage Developer,Urban,10,10.36%
438,Hungary,Datastage Developer,Urban,10,10.36%
464,Germany,Database Administrator (DBA),Urban,10,10.36%
542,Spain,Weight in Motion Field Data Collection Technician,Urban,10,10.36%
553,Poland,Data Entry Specialist,Urban,10,10.36%
623,Italy,Data Entry Clerk,Rural,10,10.36%
771,Italy,Data Entry Specialist,Rural,10,10.36%
776,Poland,Data Specialist,Urban,10,10.36%
956,Germany,Data Entry Technician,Urban,10,10.36%
1072,Poland,Clinical Data Coordinator,Urban,10,10.36%
1172,Germany,Clinical Data Coordinator,Urban,10,10.36%
1372,France,Analytical Data Miner,Urban,10,10.36%
1457,France,Data Entry Clerk,Urban,10,10.36%
1502,Austria,Data Entry Specialist,Urban,10,10.36%
1534,Greece,Data Entry Clerk,Urban,10,10.36%
1751,France,Clinical Data Coordinator,Urban,10,10.36%
1805,Spain,Data Modeler,Urban,10,10.36%
1830,Poland,Database Administrator (DBA),Urban,10,10.36%
1853,Germany,Database Administrator (DBA),Urban,10,10.36%
1877,Belgium,Clinical Data Coordinator,Urban,10,10.36%
1940,Netherlands,Weight in Motion Field Data Collection Technician,Urban,10,10.36%
2045,Great Britain,Analytical Data Miner,Urban,10,10.36%
2066,Latvia,Weight in Motion Field Data Collection Technician,Urban,10,10.36%
2185,Great Britain,Data Modeler,Urban,10,10.36%
2232,Belgium,Data Entry Associate,Urban,10,10.36%
2252,France,Data Entry Specialist,Urban,10,10.36%
2311,Poland,Data Entry Technician,Urban,10,10.36%
2427,Great Britain,Data Modeler,Urban,10,10.36%
2507,France,Analytical Data Miner,Urban,10,10.36%
2713,France,Data Entry Clerk,Urban,10,10.36%
2747,Poland,Datastage Developer,Urban,10,10.36%
2788,Italy,Data Entry Clerk,Urban,10,10.36%
2845,Poland,Analytical Data Miner,Urban,10,10.36%
2906,Cyprus,Database Administrator (DBA),Urban,10,10.36%
3185,France,Data Entry Clerk,Urban,10,10.36%
3217,Sweden,Data Entry Associate,Urban,10,10.36%
3218,Poland,Data Entry Technician,Urban,10,10.36%
3316,Italy,Data Modeler,Urban,10,10.36%
3342,Italy,Data Entry Associate,Urban,10,10.36%
3365,Poland,Data Specialist,Urban,10,10.36%
3422,Portugal,Analytical Data Miner,Urban,10,10.36%
3428,Romania,Data Modeler,Urban,10,10.36%
3492,France,Data Modeler,Urban,10,10.36%
3775,Italy,Clinical Data Coordinator,Urban,10,10.36%
3810,Germany,Clinical Data Coordinator,Urban,10,10.36%
3855,Germany,Datastage Developer,Urban,10,10.36%
3939,Germany,Data Modeler,Urban,10,10.36%
4059,Germany,Clinical Data Coordinator,Urban,10,10.36%
4070,Czechia,Database Administrator (DBA),Urban,10,10.36%
4151,Great Britain,Data Entry Associate,Urban,10,10.36%
4197,Czechia,Clinical Data Coordinator,Urban,10,10.36%
4519,Germany,Data Specialist,Urban,10,10.36%
4602,Great Britain,Data Entry Technician,Urban,10,10.36%
4653,Poland,Weight in Motion Field Data Collection Technician,Urban,10,10.36%
4716,Spain,Analytical Data Miner,Urban,10,10.36%
4759,Great Britain,Data Entry Associate,Urban,10,10.36%
4785,Great Britain,Data Specialist,Urban,10,10.36%
5014,Italy,Database Administrator (DBA),Urban,10,10.36%
5017,Great Britain,Data Entry Associate,Urban,10,10.36%
5042,Romania,Data Entry Clerk,Rural,10,10.36%
5108,Czechia,Data Entry Specialist,Urban,10,10.36%
5255,Great Britain,Analytical Data Miner,Urban,10,10.36%
5309,Spain,Weight in Motion Field Data Collection Technician,Urban,10,10.36%
5409,Spain,Weight in Motion Field Data Collection Technician,Urban,10,10.36%
5493,France,Datastage Developer,Urban,10,10.36%
5498,Poland,Analytical Data Miner,Urban,10,10.36%
5549,Great Britain,Data Entry Clerk,Urban,10,10.36%
5606,Spain,Data Entry Specialist,Urban,10,10.36%
5932,Portugal,Clinical Data Coordinator,Urban,10,10.36%
6053,Spain,Weight in Motion Field Data Collection Technician,Urban,10,10.36%
6109,Italy,Weight in Motion Field Data Collection Technician,Urban,10,10.36%
6141,Romania,Analytical Data Miner,Urban,10,10.36%
6235,Belgium,Data Entry Specialist,Urban,10,10.36%
6267,Sweden,Data Modeler,Urban,10,10.36%
6372,Romania,Data Entry Specialist,Urban,10,10.36%
6452,Italy,Data Entry Clerk,Urban,10,10.36%
6541,Romania,Data Entry Technician,Urban,10,10.36%
6639,Great Britain,Database Administrator (DBA),Urban,10,10.36%
6698,Hungary,Data Entry Technician,Urban,10,10.36%
6786,Germany,Data Entry Technician,Urban,10,10.36%
7227,France,Data Entry Specialist,Urban,10,10.36%
7324,France,Data Specialist,Urban,10,10.36%
7410,Ireland,Data Specialist,Urban,10,10.36%
7432,Finland,Datastage Developer,Urban,10,10.36%
7448,Spain,Datastage Developer,Urban,10,10.36%
7634,Germany,Database Administrator (DBA),Rural,10,10.36%
7692,Romania,Data Modeler,Rural,10,10.36%
7866,Croatia,Data Entry Associate,Urban,10,10.36%
7921,Romania,Data Entry Technician,Urban,10,10.36%
7999,Germany,Database Administrator (DBA),Urban,10,10.36%
8067,Spain,Data Entry Associate,Rural,10,10.36%
8242,Lithuania,Data Entry Specialist,Urban,10,10.36%
8327,Germany,Data Specialist,Urban,10,10.36%
8631,Greece,Weight in Motion Field Data Collection Technician,Urban,10,10.36%
8824,France,Data Modeler,Urban,10,10.36%
8828,France,Data Entry Clerk,Urban,10,10.36%
8905,Italy,Data Specialist,Rural,10,10.36%
9085,Germany,Data Entry Technician,Urban,10,10.36%
9094,Germany,Datastage Developer,Rural,10,10.36%
9137,Poland,Database Administrator (DBA),Urban,10,10.36%
9249,Poland,Analytical Data Miner,Urban,10,10.36%
9271,Italy,Weight in Motion Field Data Collection Technician,Rural,10,10.36%
9408,Hungary,Data Specialist,Urban,10,10.36%
9496,France,Clinical Data Coordinator,Urban,10,10.36%
30,France,Data Entry Machine Operator,Urban,11,11.40%
122,Italy,Clinical Data Abstractor,Urban,11,11.40%
139,Spain,Data Entry Machine Operator,Urban,11,11.40%
281,Romania,Data Analysis Assistant,Urban,11,11.40%
351,Netherlands,Data Processing Equipment Repairer,Urban,11,11.40%
453,Spain,LiDAR Data Analyst,Urban,11,11.40%
457,Portugal,LiDAR Data Analyst,Urban,11,11.40%
550,Germany,Clinical Data Abstractor,Urban,11,11.40%
675,Czechia,Data Entry Machine Operator,Urban,11,11.40%
861,Spain,Database Development Project Manager,Urban,11,11.40%
984,Czechia,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,11.40%
1031,Germany,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,11.40%
1191,Poland,Data Processing Equipment Repairer,Urban,11,11.40%
1302,Poland,Clinical Data Abstractor,Urban,11,11.40%
1303,Germany,Clinical Data Abstractor,Urban,11,11.40%
1608,Spain,Data Communications Technician,Urban,11,11.40%
1694,Great Britain,LiDAR Data Analyst,Urban,11,11.40%
1798,Spain,Data Entry Machine Operator,Rural,11,11.40%
1893,Great Britain,LiDAR Data Analyst,Urban,11,11.40%
1927,Portugal,Data Communications Technician,Urban,11,11.40%
2037,Poland,Clinical Data Abstractor,Urban,11,11.40%
2062,Ireland,LiDAR Data Analyst,Urban,11,11.40%
2498,Germany,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,11.40%
2570,Poland,Data Communications Technician,Rural,11,11.40%
2618,Greece,Clinical Data Abstractor,Urban,11,11.40%
2650,Great Britain,Data Analysis Assistant,Urban,11,11.40%
2718,Sweden,Database Development Project Manager,Urban,11,11.40%
2721,Netherlands,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,11.40%
2936,Greece,Data Communications Technician,Urban,11,11.40%
3029,Great Britain,Data Entry Machine Operator,Urban,11,11.40%
3181,Italy,Data Analysis Assistant,Urban,11,11.40%
3348,Germany,Data Processing Equipment Repairer,Urban,11,11.40%
3352,Austria,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,11.40%
3485,Great Britain,Database Development Project Manager,Urban,11,11.40%
3565,Denmark,Survey Data Technician,Urban,11,11.40%
3640,Netherlands,LiDAR Data Analyst,Urban,11,11.40%
3669,Italy,Survey Data Technician,Urban,11,11.40%
3745,Italy,Data Communications Technician,Urban,11,11.40%
3761,Spain,LiDAR Data Analyst,Urban,11,11.40%
3958,Great Britain,Data Analysis Assistant,Urban,11,11.40%
3998,Czechia,Data Processing Equipment Repairer,Urban,11,11.40%
4084,Netherlands,Data Processing Equipment Repairer,Urban,11,11.40%
4129,Spain,Data Communications Technician,Urban,11,11.40%
4166,Italy,Data Entry Machine Operator,Urban,11,11.40%
4284,Germany,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,11.40%
4349,Spain,Survey Data Technician,Urban,11,11.40%
4417,Finland,Database Development Project Manager,Urban,11,11.40%
4555,France,Database Development Project Manager,Urban,11,11.40%
4658,Sweden,Survey Data Technician,Urban,11,11.40%
4824,Poland,LiDAR Data Analyst,Urban,11,11.40%
4912,Bulgaria,Survey Data Technician,Urban,11,11.40%
4915,Italy,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,11.40%
5035,France,Data Communications Technician,Urban,11,11.40%
5138,Hungary,Data Analysis Assistant,Urban,11,11.40%
5231,Great Britain,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,11.40%
5397,Spain,Data Analysis Assistant,Urban,11,11.40%
5483,Portugal,Data Entry Machine Operator,Urban,11,11.40%
5837,Finland,Data Analysis Assistant,Urban,11,11.40%
6014,Germany,Data Entry Machine Operator,Urban,11,11.40%
6201,Hungary,Data Entry Machine Operator,Urban,11,11.40%
6254,Great Britain,Survey Data Technician,Urban,11,11.40%
6351,France,Data Communications Technician,Urban,11,11.40%
6409,Germany,Database Development Project Manager,Urban,11,11.40%
6483,Bulgaria,Database Development Project Manager,Urban,11,11.40%
6606,Croatia,Clinical Data Abstractor,Urban,11,11.40%
6658,Netherlands,Survey Data Technician,Urban,11,11.40%
6680,Germany,Survey Data Technician,Rural,11,11.40%
6737,Romania,Data Analysis Assistant,Urban,11,11.40%
6819,Italy,Database Development Project Manager,Rural,11,11.40%
6882,France,Data Communications Technician,Urban,11,11.40%
6917,Germany,LiDAR Data Analyst,Urban,11,11.40%
7024,Germany,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,11.40%
7094,Germany,Clinical Data Abstractor,Urban,11,11.40%
7111,Netherlands,Data Processing Equipment Repairer,Urban,11,11.40%
7140,Greece,Clinical Data Abstractor,Urban,11,11.40%
7150,Poland,Survey Data Technician,Urban,11,11.40%
7222,Croatia,Data Analysis Assistant,Rural,11,11.40%
7379,Spain,Data Entry Machine Operator,Urban,11,11.40%
7416,Spain,Clinical Data Abstractor,Urban,11,11.40%
7445,France,Data Entry Machine Operator,Urban,11,11.40%
7487,Italy,Database Development Project Manager,Urban,11,11.40%
7584,Portugal,Data Processing Equipment Repairer,Urban,11,11.40%
7830,Poland,LiDAR Data Analyst,Urban,11,11.40%
7905,France,Data Communications Technician,Rural,11,11.40%
7917,Spain,Data Processing Equipment Repairer,Urban,11,11.40%
8119,Czechia,Database Development Project Manager,Rural,11,11.40%
8135,Poland,LiDAR Data Analyst,Urban,11,11.40%
8382,France,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,11.40%
8438,Spain,Data Processing Equipment Repairer,Urban,11,11.40%
8448,Spain,Data Processing Equipment Repairer,Urban,11,11.40%
8589,Poland,Data Communications Technician,Urban,11,11.40%
8640,Denmark,Survey Data Technician,Urban,11,11.40%
8659,Germany,Clinical Data Abstractor,Urban,11,11.40%
8788,Sweden,Data Analysis Assistant,Urban,11,11.40%
8997,Romania,GPS Field Data Collector (Global Positioning System Field Data Collector),Urban,11,11.40%
9223,Spain,Data Processing Equipment Repairer,Urban,11,11.40%
9333,France,Survey Data Technician,Urban,11,11.40%
9480,Spain,Database Development Project Manager,Urban,11,11.40%
9502,Netherlands,Data Analysis Assistant,Rural,11,11.40%
25,Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Urban,12,12.44%
55,Italy,Data Acquisition Technician,Urban,12,12.44%
105,Ireland,Data Acquisition Technician,Urban,12,12.44%
167,Germany,Data Processing Services Sales Representative,Urban,12,12.44%
394,Germany,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,12,12.44%
751,Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Urban,12,12.44%
752,Hungary,Data Acquisition Technician,Urban,12,12.44%
773,Italy,Data Acquisition Technician,Urban,12,12.44%
916,France,Log Data Technician,Urban,12,12.44%
935,France,Log Data Technician,Urban,12,12.44%
1015,France,Clinical Data Management Associate Director,Urban,12,12.44%
1050,Great Britain,Data Processing Services Sales Representative,Urban,12,12.44%
1090,France,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,12,12.44%
1101,Hungary,Data Processing Services Sales Representative,Urban,12,12.44%
1152,Germany,Data Processing Services Sales Representative,Rural,12,12.44%
1266,Italy,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Urban,12,12.44%
1269,France,Log Data Technician,Rural,12,12.44%
1306,Germany,SCADA Operator (Supervisory Control and Data Acquisition Operator),Rural,12,12.44%
1483,France,Business Database Analyst,Rural,12,12.44%
1752,Germany,Data Entry Supervisor,Urban,12,12.44%
1895,Great Britain,Data Conversion Operator,Urban,12,12.44%
2237,Portugal,Data Processing Services Sales Representative,Urban,12,12.44%
2263,Germany,Business Database Analyst,Urban,12,12.44%
2286,Germany,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Urban,12,12.44%
2383,Spain,Data Entry Supervisor,Urban,12,12.44%
2684,Poland,Clinical Data Management Associate Director,Urban,12,12.44%
2850,Germany,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,12,12.44%
2917,Italy,Business Database Analyst,Urban,12,12.44%
2964,Hungary,Data Processing Services Sales Representative,Urban,12,12.44%
2996,Sweden,Data Conversion Operator,Urban,12,12.44%
3132,Netherlands,Data Entry Supervisor,Urban,12,12.44%
3148,Spain,Data Conversion Operator,Urban,12,12.44%
3362,Spain,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,12,12.44%
3374,Portugal,Data Conversion Operator,Urban,12,12.44%
3462,Poland,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Urban,12,12.44%
3481,Germany,Data Conversion Operator,Urban,12,12.44%
3611,Portugal,Log Data Technician,Urban,12,12.44%
3694,Netherlands,Business Database Analyst,Urban,12,12.44%
3765,Great Britain,Business Database Analyst,Rural,12,12.44%
3782,Poland,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",Urban,12,12.44%
4011,Hungary,Data Processing Services Sales Representative,Urban,12,12.44%
4091,Romania,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,12,12.44%
4250,France,Business Database Analyst,Urban,12,12.44%
4392,Germany,Data Entry Supervisor,Urban,12,12.44%
4573,Croatia,Clinical Data Management Associate Director,Urban,12,12.44%
4620,Spain,Business Database Analyst,Urban,12,12.44%
4676,Estonia,Data Entry Supervisor,Urban,12,12.44%
4722,Poland,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,12,12.44%
4898,Germany,Data Processing Services Sales Representative,Urban,12,12.44%
5106,Netherlands,Data Processing Services Sales Representative,Urban,12,12.44%
