,Country,Job Title,Rural,Quantity,Percentage
1751,France,Clinical Data Coordinator,Urban,10,0.10%
1756,France,Database Software Technician,Urban,76,0.79%
1757,France,Database Development and Administration Project Manager,Urban,75,0.78%
1765,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
1788,France,Data Processing Systems Analyst,Rural,76,0.79%
1799,France,Director of Data Operations,Urban,78,0.81%
1800,France,Database Designer,Urban,64,0.66%
1815,France,Database Modeler,Urban,64,0.66%
1829,France,Database Design Analyst,Urban,58,0.60%
1847,France,Director of Data Operations,Urban,78,0.81%
1896,France,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
1909,France,Database Software Technician,Urban,76,0.79%
1926,France,SQL Database Administrator,Urban,65,0.67%
1939,France,Database Marketing Analyst,Urban,61,0.63%
1971,France,Database Programmer,Urban,14,0.15%
1984,France,Data Warehouse Architect,Urban,77,0.80%
2001,France,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
2021,France,Data Warehouse Specialist,Urban,81,0.84%
2030,France,Data Architect,Urban,88,0.91%
2071,France,Data Collection Technician,Urban,19,0.20%
2084,France,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
2100,France,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
2105,France,Data Warehouse Specialist,Urban,81,0.84%
2108,France,Data Warehouse Analyst,Rural,69,0.72%
2119,France,Data Coordinator,Urban,88,0.91%
2132,France,Data Base Design Analyst,Urban,58,0.60%
2143,France,Data Systems Manager,Rural,69,0.72%
2147,France,Naval Tactical Data System--Combat Information Center Officer,Urban,17,0.18%
2148,France,Data Officer,Urban,101,1.05%
2155,France,Data Architect,Urban,88,0.91%
2167,France,Data Transcriber,Urban,14,0.15%
2194,France,Data Processing Systems Project Planner,Rural,65,0.67%
2206,France,Database Designer,Urban,64,0.66%
2210,France,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
2214,France,Database Administration Associate,Urban,73,0.76%
2221,France,Database Administration Associate,Urban,73,0.76%
2240,France,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
2252,France,Data Entry Specialist,Urban,10,0.10%
2253,France,Data Management Associate,Urban,72,0.75%
2259,France,Database Software Technician,Urban,76,0.79%
2262,France,Database Development and Administration Project Manager,Urban,75,0.78%
2267,France,Database Designer,Urban,64,0.66%
2292,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
2298,France,Director of Data Operations,Urban,78,0.81%
2307,France,Data Warehouse Architect,Urban,77,0.80%
2314,France,Data Coordinator,Urban,88,0.91%
2321,France,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
2323,France,Data Management Associate,Urban,72,0.75%
2330,France,Data Base Design Analyst,Urban,58,0.60%
2335,France,Data Officer,Urban,101,1.05%
2352,France,Data Architect,Urban,88,0.91%
2381,France,Data Communications Analyst,Urban,69,0.72%
2389,France,Database Specialist,Urban,61,0.63%
2402,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
2418,France,Marketing Database Analyst,Urban,15,0.16%
2492,France,Data Coder Operator,Urban,13,0.13%
2493,France,Databases Computer Consultant,Urban,52,0.54%
2500,France,Database Manager,Urban,78,0.81%
2506,France,Clinical Trials Data Coordinator,Urban,5,0.05%
2507,France,Analytical Data Miner,Urban,10,0.10%
2625,France,Database Manager,Urban,78,0.81%
2640,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
2649,France,Database Tester,Urban,77,0.80%
2656,France,Data Processing Systems Analyst,Urban,76,0.79%
2665,France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
2670,France,Data Storage Specialist,Urban,83,0.86%
2712,France,Data Administrator,Urban,86,0.89%
2713,France,Data Entry Clerk,Urban,10,0.10%
2720,France,Data Modeling Specialist,Urban,81,0.84%
2728,France,Data Transcriber,Urban,14,0.15%
2729,France,Data Administrator,Urban,86,0.89%
2731,France,Database Coordinator,Urban,81,0.84%
2733,France,Database Marketing Analyst,Urban,61,0.63%
2736,France,Head of Information Systems and Data Processing,Urban,71,0.74%
2737,France,Database Architect,Urban,72,0.75%
2748,France,Data Architect,Urban,88,0.91%
2763,France,Database Consultant,Urban,84,0.87%
2764,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
2766,France,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
2771,France,Data Administrator,Urban,86,0.89%
2772,France,Data Modeling Specialist,Urban,81,0.84%
2804,France,Data Warehouse Specialist,Urban,81,0.84%
2811,France,Automatic Data Processing Planner,Urban,78,0.81%
2813,France,Clinical Data Specialist,Urban,8,0.08%
2828,France,Data Processing Auditor,Urban,67,0.69%
2844,France,Data Systems Manager,Urban,69,0.72%
2904,France,Data Communications Software Consultant,Urban,73,0.76%
2946,France,Data Communications Software Consultant,Urban,73,0.76%
2954,France,Data Processing Auditor,Urban,67,0.69%
2957,France,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
2969,France,Automatic Data Processing Planner,Urban,78,0.81%
2976,France,Databases Computer Consultant,Urban,52,0.54%
2978,France,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
2988,France,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
3007,France,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
3012,France,Data Warehousing Manager,Urban,61,0.63%
3075,France,Automatic Data Processing Planner,Urban,78,0.81%
3115,France,Database Engineer,Urban,77,0.80%
3124,France,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
3146,France,Database Administration Associate,Urban,73,0.76%
3161,France,Automatic Data Processing Planner,Urban,78,0.81%
3164,France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
3167,France,Data Communications Analyst,Urban,69,0.72%
3185,France,Data Entry Clerk,Urban,10,0.10%
3197,France,Data Systems Manager,Urban,69,0.72%
3201,France,Database Software Technician,Urban,76,0.79%
3202,France,Database Consultant,Urban,84,0.87%
3206,France,Data Miner,Urban,72,0.75%
3219,France,Data Management Information Technology Specialist,Urban,61,0.63%
3237,France,Database Designer,Urban,64,0.66%
3238,France,Data Modeling Specialist,Urban,81,0.84%
3245,France,Database Coordinator,Rural,81,0.84%
3269,France,Data Warehouse Specialist,Urban,81,0.84%
3274,France,Automatic Data Processing Planner,Urban,78,0.81%
3290,France,Data Processing Consultant,Urban,53,0.55%
3293,France,Data Processing Manager,Urban,73,0.76%
3298,France,Data Scientist,Urban,67,0.69%
3307,France,Data Warehouse Analyst,Rural,69,0.72%
3329,France,Internet Database Specialist,Urban,72,0.75%
3382,France,Database Coordinator,Urban,81,0.84%
3388,France,Data Warehousing Manager,Urban,61,0.63%
3453,France,Medical Data Analyst,Urban,13,0.13%
3492,France,Data Modeler,Urban,10,0.10%
3496,France,Data Miner,Urban,72,0.75%
3498,France,Internet Database Specialist,Urban,72,0.75%
3512,France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
3515,France,Data Miner,Urban,72,0.75%
3518,France,Data Base Design Analyst,Rural,58,0.60%
3533,France,Director of Data Operations,Urban,78,0.81%
3542,France,Database Consultant,Urban,84,0.87%
3549,France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
3555,France,Database Architect,Urban,72,0.75%
3584,France,Database Security Expert,Urban,62,0.64%
3626,France,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
3631,France,Data Architect,Rural,88,0.91%
3644,France,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
3664,France,Director of Data Operations,Urban,78,0.81%
3682,France,Data Modeling Specialist,Urban,81,0.84%
3686,France,Data Officer,Urban,101,1.05%
3690,France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
3732,France,Geographic Information Systems Data Manager (GIS Data Manager),Rural,64,0.66%
3742,France,Automatic Data Processing Planner,Urban,78,0.81%
3751,France,Database Coordinator,Urban,81,0.84%
3762,France,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
3766,France,Database Tester,Rural,77,0.80%
3772,France,Database Coordinator,Urban,81,0.84%
3773,France,Naval Tactical Data System--Combat Information Center Officer,Urban,17,0.18%
3785,France,Database Analyst,Urban,22,0.23%
3788,France,Director of Data Operations,Urban,78,0.81%
3793,France,Database Engineer,Urban,77,0.80%
3824,France,Data Security Analyst,Urban,77,0.80%
3836,France,Database Consultant,Urban,84,0.87%
3846,France,Maintenance Data Analyst,Urban,9,0.09%
3853,France,Data Modeling Specialist,Urban,81,0.84%
3864,France,Data Management Associate,Urban,72,0.75%
3892,France,Data Security Administrator,Urban,67,0.69%
3906,France,Database Development and Administration Project Manager,Rural,75,0.78%
3912,France,Data Storage Specialist,Urban,83,0.86%
3931,France,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
3932,France,Database Design Analyst,Urban,58,0.60%
3967,France,Database Security Expert,Urban,62,0.64%
3985,France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
4010,France,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
4039,France,Database Software Technician,Rural,76,0.79%
4050,France,Data Administrator,Urban,86,0.89%
4057,France,Data Coordinator,Urban,88,0.91%
4062,France,Data Warehouse Architect,Rural,77,0.80%
4074,France,Field Traffic Data Technician,Urban,16,0.17%
4122,France,"Operations Officer, Afloat (Naval Tactical Data Systems)",Urban,8,0.08%
4130,France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
4147,France,Databases Computer Consultant,Urban,52,0.54%
4180,France,Data Architect,Urban,88,0.91%
4191,France,Database Development and Administration Project Manager,Urban,75,0.78%
4208,France,Data Architect,Rural,88,0.91%
4222,France,Data Officer,Urban,101,1.05%
4250,France,Business Database Analyst,Urban,12,0.12%
4285,France,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
4286,France,Data Warehouse Developer,Urban,62,0.64%
4287,France,Data Reduction Technician,Urban,15,0.16%
4293,France,Internet Database Specialist,Rural,72,0.75%
4318,France,Data Warehouse Specialist,Urban,81,0.84%
4332,France,Data Officer,Urban,101,1.05%
4338,France,Head of Information Systems and Data Processing,Urban,71,0.74%
4371,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
4404,France,Data Communications Analyst,Urban,69,0.72%
4405,France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
4452,France,Clinical Data Management Manager (CDM Manager),Urban,17,0.18%
4467,France,Data Warehousing Specialist,Urban,59,0.61%
4511,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
4513,France,Medical Data Analyst,Rural,13,0.13%
4551,France,Database Coordinator,Urban,81,0.84%
4555,France,Database Development Project Manager,Urban,11,0.11%
4594,France,Database Security Administrator,Rural,71,0.74%
4601,France,Database Security Expert,Urban,62,0.64%
4621,France,Data Sciences Director,Urban,16,0.17%
4626,France,Data Processing Systems Analyst,Urban,76,0.79%
4629,France,Data Management Associate,Urban,72,0.75%
4639,France,Computer or Data Processing Systems Consultant,Rural,88,0.91%
4690,France,Database Manager,Urban,78,0.81%
4694,France,Data Processing Consultant,Urban,53,0.55%
4696,France,SQL Database Administrator,Rural,65,0.67%
4706,France,Database Marketing Analyst,Urban,61,0.63%
4727,France,Databases Computer Consultant,Urban,52,0.54%
4747,France,Database Specialist,Urban,61,0.63%
4756,France,Geographic Information Systems Data Manager (GIS Data Manager),Rural,64,0.66%
4769,France,Data Warehousing Manager,Urban,61,0.63%
4780,France,Data Storage Specialist,Urban,83,0.86%
4795,France,Database Marketing Analyst,Urban,61,0.63%
4797,France,Data Control Clerk Supervisor,Urban,8,0.08%
4820,France,Data Processing Auditor,Urban,67,0.69%
4831,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,0.63%
4835,France,Database Security Administrator,Urban,71,0.74%
4848,France,Data Storage Specialist,Urban,83,0.86%
4849,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
4878,France,Database Architect,Rural,72,0.75%
4977,France,Internet Database Specialist,Urban,72,0.75%
4991,France,Automatic Data Processing Planner,Urban,78,0.81%
5030,France,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
5035,France,Data Communications Technician,Urban,11,0.11%
5057,France,Data Warehouse Architect,Urban,77,0.80%
5075,France,Data Security Administrator,Urban,67,0.69%
5091,France,Database Marketing Analyst,Urban,61,0.63%
5120,France,Database Security Administrator,Urban,71,0.74%
5121,France,Data Warehousing Engineer,Urban,59,0.61%
5125,France,Data Coder Operator,Urban,13,0.13%
5142,France,Data Officer,Rural,101,1.05%
5146,France,Database Consultant,Urban,84,0.87%
5154,France,Data Scientist,Urban,67,0.69%
5178,France,Database Specialist,Rural,61,0.63%
5211,France,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
5230,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,0.63%
5235,France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,0.63%
5243,France,Data Management Associate,Urban,72,0.75%
5254,France,Database Consultant,Urban,84,0.87%
5267,France,Database Administration Associate,Urban,73,0.76%
5274,France,Database Tester,Urban,77,0.80%
5278,France,Business Database Analyst,Urban,12,0.12%
5280,France,Micro Computer Data Processor,Urban,15,0.16%
5291,France,Data Scientist,Urban,67,0.69%
5328,France,Databases Software Consultant,Urban,44,0.46%
5333,France,Data Security Analyst,Urban,77,0.80%
5334,France,Voice and Data Technician,Urban,13,0.13%
5337,France,Database Designer,Urban,64,0.66%
5342,France,Data Scientist,Urban,67,0.69%
5350,France,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
5411,France,Database Administration Associate,Urban,73,0.76%
5423,France,Data Processing Systems Project Planner,Urban,65,0.67%
5428,France,Database Engineer,Urban,77,0.80%
5469,France,Database Administration Associate,Urban,73,0.76%
5474,France,Data Management Associate,Urban,72,0.75%
5493,France,Datastage Developer,Urban,10,0.10%
5517,France,Crime Data Specialist,Urban,8,0.08%
5521,France,Data Security Administrator,Urban,67,0.69%
5523,France,Data Systems Manager,Urban,69,0.72%
5526,France,Database Tester,Urban,77,0.80%
5528,France,Database Consultant,Urban,84,0.87%
5539,France,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
5541,France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
5560,France,Database Manager,Urban,78,0.81%
5569,France,Data Base Design Analyst,Urban,58,0.60%
5570,France,Database Administration Manager,Urban,65,0.67%
5627,France,Database Development and Administration Project Manager,Urban,75,0.78%
5631,France,Data Operations Director,Urban,38,0.39%
5632,France,Databases Computer Consultant,Urban,52,0.54%
5645,France,Database Modeler,Urban,64,0.66%
5655,France,Data Processing Systems Project Planner,Rural,65,0.67%
5697,France,Data Management Associate,Urban,72,0.75%
5699,France,Data Architect,Urban,88,0.91%
5717,France,Data Management Manager,Urban,7,0.07%
5718,France,Data Warehousing Specialist,Rural,59,0.61%
5796,France,Data Officer,Urban,101,1.05%
5803,France,Data Management Associate,Urban,72,0.75%
5817,France,Data Management Associate,Urban,72,0.75%
5850,France,Clinical Data Management Manager (CDM Manager),Urban,17,0.18%
5851,France,Data Systems Manager,Urban,69,0.72%
5856,France,Database Tester,Urban,77,0.80%
5858,France,Database Software Technician,Urban,76,0.79%
5874,France,Database Consultant,Urban,84,0.87%
5910,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
5916,France,Data Warehousing Manager,Urban,61,0.63%
5925,France,Data Security Analyst,Urban,77,0.80%
5943,France,Database Analyst,Urban,22,0.23%
5978,France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
5986,France,Data Base Design Analyst,Urban,58,0.60%
6003,France,Data Base Design Analyst,Urban,58,0.60%
6005,France,Director of Data Operations,Urban,78,0.81%
6006,France,Database Security Expert,Urban,62,0.64%
6010,France,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
6057,France,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,12,0.12%
6068,France,Data Security Administrator,Urban,67,0.69%
6074,France,Data Input Clerk,Urban,15,0.16%
6075,France,Data Warehousing Engineer,Urban,59,0.61%
6088,France,Data Warehousing Specialist,Urban,59,0.61%
6106,France,Internet Database Specialist,Urban,72,0.75%
6113,France,Data Processing Manager,Urban,73,0.76%
6122,France,Data Modeling Specialist,Urban,81,0.84%
6123,France,SQL Database Administrator,Urban,65,0.67%
6127,France,Internet Database Specialist,Urban,72,0.75%
6129,France,Head of Information Systems and Data Processing,Urban,71,0.74%
6130,France,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,12,0.12%
6138,France,Automatic Data Processing Planner,Urban,78,0.81%
6175,France,Data Modeling Specialist,Urban,81,0.84%
6187,France,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
6243,France,Data Processing Systems Project Planner,Urban,65,0.67%
6252,France,Database Administration Associate,Urban,73,0.76%
6253,France,Data Modeling Specialist,Urban,81,0.84%
6268,France,Data Processing Systems Analyst,Urban,76,0.79%
6281,France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
6286,France,Database Manager,Rural,78,0.81%
6293,France,Data Transcriber,Urban,14,0.15%
6325,France,Data Warehouse Developer,Urban,62,0.64%
6326,France,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
6337,France,Data Communications Analyst,Urban,69,0.72%
6351,France,Data Communications Technician,Urban,11,0.11%
6371,France,Database Analyst,Urban,22,0.23%
6380,France,Data Operations Director,Urban,38,0.39%
6387,France,Database Coordinator,Rural,81,0.84%
6389,France,Database Marketing Analyst,Urban,61,0.63%
6390,France,Data Warehouse Architect,Urban,77,0.80%
6391,France,Data Warehouse Specialist,Urban,81,0.84%
6399,France,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
6404,France,Database Tester,Urban,77,0.80%
6405,France,Data Capture Specialist,Urban,7,0.07%
6408,France,Data Communications Analyst,Urban,69,0.72%
6412,France,Database Tester,Urban,77,0.80%
6454,France,Internet Database Specialist,Urban,72,0.75%
6459,France,Data Administrator,Urban,86,0.89%
6461,France,Clinical Data Manager,Urban,13,0.13%
6465,France,Data Entry Representative,Urban,17,0.18%
6474,France,Database Architect,Urban,72,0.75%
6508,France,Head of Information Systems and Data Processing,Urban,71,0.74%
6537,France,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
6559,France,Automatic Data Processing Planner (ADP Planner),Rural,77,0.80%
6574,France,Data Processing Systems Project Planner,Urban,65,0.67%
6584,France,Database Modeler,Urban,64,0.66%
6587,France,Data Warehouse Analyst,Urban,69,0.72%
6600,France,Data Security Administrator,Urban,67,0.69%
6603,France,Data Warehouse Analyst,Urban,69,0.72%
6611,France,Data Processing Manager,Urban,73,0.76%
6615,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
6646,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
6655,France,Database Development and Administration Project Manager,Urban,75,0.78%
6661,France,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
6663,France,Computer or Data Processing Systems Consultant,Urban,88,0.91%
6669,France,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
6671,France,Database Security Administrator,Urban,71,0.74%
6686,France,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
6700,France,Data Warehousing Engineer,Rural,59,0.61%
6717,France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Rural,85,0.88%
6719,France,Data Management Information Technology Specialist,Urban,61,0.63%
6736,France,Database Coordinator,Urban,81,0.84%
6752,France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
6775,France,Data Warehouse Specialist,Urban,81,0.84%
6803,France,Database Marketing Analyst,Urban,61,0.63%
6813,France,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
6816,France,Data Entry Supervisor,Urban,12,0.12%
6822,France,Data Processing Manager,Urban,73,0.76%
