,Country,Job Title,Rural,Quantity,Percentage
1438,Spain,Data Processing Consultant,Urban,53,0.55%
1439,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
1459,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
1501,Spain,Data Warehouse Analyst,Urban,69,0.72%
1508,Spain,Data Miner,Urban,72,0.75%
1537,Spain,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
1543,Spain,Database Coordinator,Rural,81,0.84%
1608,Spain,Data Communications Technician,Urban,11,0.11%
1611,Spain,Field Traffic Data Technician,Urban,16,0.17%
1612,Spain,Database Modeler,Urban,64,0.66%
1660,Spain,Data Modeling Specialist,Urban,81,0.84%
1662,Spain,Database Coordinator,Urban,81,0.84%
1666,Spain,Databases Software Consultant,Urban,44,0.46%
1705,Spain,Data Communications Software Consultant,Urban,73,0.76%
1716,Spain,Data Processing Systems Project Planner,Urban,65,0.67%
1725,Spain,Clinical Data Associate,Urban,17,0.18%
1766,Spain,Data Processing Systems Project Planner,Urban,65,0.67%
1772,Spain,Database Administration Project Manager,Urban,13,0.13%
1793,Spain,Data Base Design Analyst,Urban,58,0.60%
1798,Spain,Data Entry Machine Operator,Rural,11,0.11%
1805,Spain,Data Modeler,Urban,10,0.10%
1809,Spain,Data Security Administrator,Urban,67,0.69%
1843,Spain,Computer or Data Processing Systems Consultant,Urban,88,0.91%
1845,Spain,Database Security Administrator,Urban,71,0.74%
1849,Spain,Data Communications Software Consultant,Urban,73,0.76%
1855,Spain,Data Communications Software Consultant,Urban,73,0.76%
1857,Spain,Database Manager,Urban,78,0.81%
1862,Spain,Database Engineer,Urban,77,0.80%
1869,Spain,Data Sciences Director,Urban,16,0.17%
1908,Spain,Automatic Data Processing Planner,Urban,78,0.81%
1914,Spain,Databases Software Consultant,Urban,44,0.46%
1933,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
1952,Spain,Data Processing Clerk,Urban,7,0.07%
1967,Spain,Internet Database Specialist,Urban,72,0.75%
1968,Spain,Data Communications Software Consultant,Urban,73,0.76%
1985,Spain,Data Warehouse Specialist,Urban,81,0.84%
2010,Spain,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
2072,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
2107,Spain,Data Scientist,Urban,67,0.69%
2110,Spain,Data Management Associate,Urban,72,0.75%
2115,Spain,Database Security Administrator,Urban,71,0.74%
2120,Spain,Data Warehousing Specialist,Urban,59,0.61%
2146,Spain,Data Entry Operator,Urban,9,0.09%
2164,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
2191,Spain,Data Architect,Urban,88,0.91%
2212,Spain,Database Administration Manager,Urban,65,0.67%
2300,Spain,Database Engineer,Urban,77,0.80%
2305,Spain,Data Recovery Planner,Rural,13,0.13%
2310,Spain,Database Coordinator,Urban,81,0.84%
2312,Spain,Field Artillery Automated Tactical Data System Specialist,Urban,15,0.16%
2325,Spain,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
2353,Spain,Data Management Associate,Urban,72,0.75%
2360,Spain,Data Processing Manager,Urban,73,0.76%
2377,Spain,Data Base Design Analyst,Urban,58,0.60%
2378,Spain,Data Security Analyst,Urban,77,0.80%
2383,Spain,Data Entry Supervisor,Urban,12,0.12%
2391,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
2416,Spain,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
2437,Spain,Data Management Associate,Urban,72,0.75%
2438,Spain,Database Security Expert,Urban,62,0.64%
2453,Spain,Data Systems Manager,Urban,69,0.72%
2459,Spain,Automatic Data Processing Planner,Urban,78,0.81%
2469,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
2484,Spain,Database Coordinator,Urban,81,0.84%
2516,Spain,Database Administration Associate,Urban,73,0.76%
2532,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
2553,Spain,Data Coordinator,Urban,88,0.91%
2607,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
2610,Spain,Data Sciences Director,Urban,16,0.17%
2616,Spain,Data Technician,Urban,9,0.09%
2628,Spain,"Operations Officer, Afloat (Naval Tactical Data Systems)",Urban,8,0.08%
2631,Spain,Internet Database Specialist,Urban,72,0.75%
2632,Spain,Database Security Administrator,Urban,71,0.74%
2693,Spain,Database Tester,Urban,77,0.80%
2695,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
2707,Spain,Data Processing Systems Analyst,Urban,76,0.79%
2726,Spain,Data Management Associate,Urban,72,0.75%
2739,Spain,Data Security Administrator,Urban,67,0.69%
2760,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
2817,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
2826,Spain,Data Base Design Analyst,Urban,58,0.60%
2827,Spain,Data Coordinator,Urban,88,0.91%
2837,Spain,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
2852,Spain,Data Processing Supervisor,Urban,8,0.08%
2866,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
2873,Spain,Database Software Technician,Urban,76,0.79%
2878,Spain,Data Processing Consultant,Urban,53,0.55%
2884,Spain,Crime Data Specialist,Urban,8,0.08%
2886,Spain,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
2888,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
2897,Spain,Data Processing Systems Analyst,Urban,76,0.79%
2912,Spain,Database Architect,Urban,72,0.75%
2913,Spain,Data Processing Auditor,Urban,67,0.69%
2933,Spain,Head of Information Systems and Data Processing,Urban,71,0.74%
2960,Spain,Database Security Expert,Urban,62,0.64%
2966,Spain,Data Security Administrator,Urban,67,0.69%
2986,Spain,Data Warehouse Architect,Urban,77,0.80%
3000,Spain,Director of Data Operations,Urban,78,0.81%
3011,Spain,Data Modeling Specialist,Urban,81,0.84%
3041,Spain,Data Operations Director,Urban,38,0.39%
3054,Spain,Data Systems Manager,Urban,69,0.72%
3084,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
3094,Spain,Head of Information Systems and Data Processing,Urban,71,0.74%
3130,Spain,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
3136,Spain,Internet Database Specialist,Urban,72,0.75%
3147,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
3148,Spain,Data Conversion Operator,Urban,12,0.12%
3194,Spain,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
3200,Spain,Data Operations Director,Urban,38,0.39%
3225,Spain,Data Keyer,Urban,9,0.09%
3254,Spain,Database Manager,Urban,78,0.81%
3318,Spain,Director of Data Operations,Urban,78,0.81%
3330,Spain,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
3333,Spain,Data Security Administrator,Urban,67,0.69%
3362,Spain,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,12,0.12%
3366,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
3378,Spain,Data Processing Systems Analyst,Urban,76,0.79%
3381,Spain,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
3384,Spain,Maintenance Data Analyst,Urban,9,0.09%
3405,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
3430,Spain,Database Administration Project Manager,Urban,13,0.13%
3449,Spain,Automatic Data Processing Planner,Urban,78,0.81%
3450,Spain,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
3451,Spain,Data Warehouse Analyst,Urban,69,0.72%
3491,Spain,Data Reduction Technician,Urban,15,0.16%
3497,Spain,Computer or Data Processing Systems Consultant,Urban,88,0.91%
3525,Spain,Data Modeling Specialist,Urban,81,0.84%
3531,Spain,Database Administration Associate,Urban,73,0.76%
3567,Spain,Database Coordinator,Urban,81,0.84%
3580,Spain,Database Engineer,Urban,77,0.80%
3594,Spain,Data Warehouse Specialist,Urban,81,0.84%
3621,Spain,Database Architect,Urban,72,0.75%
3635,Spain,Data Processing Manager,Urban,73,0.76%
3645,Spain,Data Warehouse Specialist,Urban,81,0.84%
3671,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
3687,Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,85,0.88%
3705,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
3709,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
3733,Spain,Data Compiler,Urban,16,0.17%
3761,Spain,LiDAR Data Analyst,Urban,11,0.11%
3783,Spain,Data Coordinator,Urban,88,0.91%
3799,Spain,Data Management Information Technology Specialist,Urban,61,0.63%
3841,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
3848,Spain,Data Management Associate,Urban,72,0.75%
3861,Spain,Database Software Technician,Urban,76,0.79%
3867,Spain,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
3869,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
3870,Spain,Database Software Technician,Urban,76,0.79%
3884,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
3902,Spain,Database Designer,Urban,64,0.66%
3929,Spain,Database Designer,Urban,64,0.66%
3955,Spain,Database Engineer,Urban,77,0.80%
3976,Spain,Data Coordinator,Urban,88,0.91%
3986,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
4001,Spain,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
4019,Spain,Data Base Design Analyst,Urban,58,0.60%
4021,Spain,Data Warehouse Architect,Urban,77,0.80%
4024,Spain,Database Engineer,Urban,77,0.80%
4029,Spain,Data Management Information Technology Specialist,Urban,61,0.63%
4035,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
4040,Spain,Data Security Analyst,Rural,77,0.80%
4064,Spain,Data Systems Manager,Urban,69,0.72%
4075,Spain,Director of Data Operations,Urban,78,0.81%
4082,Spain,Health Data Analyst,Urban,13,0.13%
4093,Spain,Data Management Associate,Urban,72,0.75%
4110,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
4116,Spain,Data Recovery Planner,Urban,13,0.13%
4121,Spain,Data Architect,Urban,88,0.91%
4124,Spain,Automatic Data Processing Planner,Urban,78,0.81%
4129,Spain,Data Communications Technician,Urban,11,0.11%
4156,Spain,Data Communications Software Consultant,Urban,73,0.76%
4215,Spain,Scientific Database Curator,Urban,8,0.08%
4216,Spain,Data Miner,Urban,72,0.75%
4255,Spain,Database Software Technician,Urban,76,0.79%
4270,Spain,Data Processing Auditor,Urban,67,0.69%
4274,Spain,Data Warehouse Specialist,Urban,81,0.84%
4300,Spain,Clinical Data Management Manager (CDM Manager),Urban,17,0.18%
4307,Spain,Data Communications Analyst,Urban,69,0.72%
4314,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
4327,Spain,Data Warehouse Developer,Urban,62,0.64%
4349,Spain,Survey Data Technician,Urban,11,0.11%
4381,Spain,SQL Database Administrator,Urban,65,0.67%
4383,Spain,Data Processing Manager,Urban,73,0.76%
4399,Spain,Data Miner,Urban,72,0.75%
4423,Spain,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
4427,Spain,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
4448,Spain,Data Coordinator,Urban,88,0.91%
4488,Spain,Data Processing Consultant,Urban,53,0.55%
4536,Spain,Database Management System Specialist (DBMS Specialist),Rural,76,0.79%
4541,Spain,Database Manager,Urban,78,0.81%
4554,Spain,Naval Tactical Data System--Combat Information Center Officer,Urban,17,0.18%
4557,Spain,Director of Data Operations,Urban,78,0.81%
4568,Spain,Data Processing Consultant,Urban,53,0.55%
4620,Spain,Business Database Analyst,Urban,12,0.12%
4648,Spain,Database Administration Manager,Urban,65,0.67%
4675,Spain,Database Design Analyst,Urban,58,0.60%
4693,Spain,Database Engineer,Urban,77,0.80%
4698,Spain,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
4709,Spain,Database Designer,Rural,64,0.66%
4716,Spain,Analytical Data Miner,Urban,10,0.10%
4746,Spain,Data Warehouse Analyst,Urban,69,0.72%
4814,Spain,Clinical Data Associate,Urban,17,0.18%
4818,Spain,Data Processing Consultant,Urban,53,0.55%
4821,Spain,Data Communications Analyst,Urban,69,0.72%
4822,Spain,Data Processing Auditor,Urban,67,0.69%
4861,Spain,Database Manager,Urban,78,0.81%
4894,Spain,Database Administration Manager,Urban,65,0.67%
4896,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
4949,Spain,Data Management Associate,Urban,72,0.75%
4955,Spain,Flight Test Data Acquisition Technician,Urban,13,0.13%
4964,Spain,Head of Information Systems and Data Processing,Urban,71,0.74%
4970,Spain,Data Modeling Specialist,Urban,81,0.84%
5003,Spain,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
5032,Spain,Data Processing Systems Project Planner,Urban,65,0.67%
5066,Spain,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
5086,Spain,Database Architect,Urban,72,0.75%
5116,Spain,Data Storage Specialist,Urban,83,0.86%
5129,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
5166,Spain,Databases Software Consultant,Urban,44,0.46%
5172,Spain,Data Warehouse Specialist,Urban,81,0.84%
5186,Spain,Data Warehouse Architect,Urban,77,0.80%
5194,Spain,Head of Information Systems and Data Processing,Urban,71,0.74%
5207,Spain,Database Security Expert,Urban,62,0.64%
5256,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
5309,Spain,Weight in Motion Field Data Collection Technician,Urban,10,0.10%
5321,Spain,Data Processing Auxiliary Equipment Operator,Urban,8,0.08%
5324,Spain,Data Security Analyst,Urban,77,0.80%
5331,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
5392,Spain,Data Examination Clerk,Urban,7,0.07%
5397,Spain,Data Analysis Assistant,Urban,11,0.11%
5403,Spain,Data Systems Manager,Urban,69,0.72%
5409,Spain,Weight in Motion Field Data Collection Technician,Urban,10,0.10%
5415,Spain,Data Coordinator,Urban,88,0.91%
5417,Spain,Data Storage Specialist,Urban,83,0.86%
5436,Spain,Data Communications Software Consultant,Rural,73,0.76%
5462,Spain,Data Transcriber,Urban,14,0.15%
5473,Spain,Field Artillery Automated Tactical Data System Specialist,Urban,15,0.16%
5520,Spain,Data Sciences Director,Urban,16,0.17%
5578,Spain,Databases Computer Consultant,Urban,52,0.54%
5584,Spain,Data Processing Systems Project Planner,Urban,65,0.67%
5591,Spain,Databases Computer Consultant,Urban,52,0.54%
5606,Spain,Data Entry Specialist,Urban,10,0.10%
5609,Spain,Director of Data Operations,Urban,78,0.81%
5628,Spain,Database Security Administrator,Urban,71,0.74%
5634,Spain,Data Compiler,Urban,16,0.17%
5640,Spain,Data Management Associate,Rural,72,0.75%
5674,Spain,Data Processing Systems Analyst,Urban,76,0.79%
5705,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
5721,Spain,Data Security Analyst,Urban,77,0.80%
5725,Spain,Data Officer,Urban,101,1.05%
5727,Spain,Data Scientist,Urban,67,0.69%
5741,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
5760,Spain,Database Marketing Analyst,Urban,61,0.63%
5769,Spain,Data Administrator,Urban,86,0.89%
5793,Spain,Database Administration Associate,Urban,73,0.76%
5804,Spain,Data Security Analyst,Urban,77,0.80%
5813,Spain,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
5827,Spain,Data Warehousing Engineer,Urban,59,0.61%
5829,Spain,Data Compiler,Urban,16,0.17%
5866,Spain,Data Transcriber,Urban,14,0.15%
5884,Spain,Database Administration Associate,Urban,73,0.76%
5888,Spain,Database Security Expert,Urban,62,0.64%
5895,Spain,Database Software Technician,Urban,76,0.79%
5897,Spain,Database Coordinator,Urban,81,0.84%
5898,Spain,Electronic Data Interchange System Developer (EDI System Developer),Urban,60,0.62%
5914,Spain,Data Coordinator,Urban,88,0.91%
5919,Spain,Data Modeling Specialist,Urban,81,0.84%
5942,Spain,Data Systems Manager,Urban,69,0.72%
5946,Spain,Database Development and Administration Project Manager,Urban,75,0.78%
5963,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
5965,Spain,Voice and Data Technician,Urban,13,0.13%
5985,Spain,Data Modeling Specialist,Urban,81,0.84%
5992,Spain,Data Warehousing Engineer,Urban,59,0.61%
6053,Spain,Weight in Motion Field Data Collection Technician,Urban,10,0.10%
6066,Spain,Data Processing Systems Analyst,Urban,76,0.79%
6104,Spain,Database Consultant,Urban,84,0.87%
6147,Spain,Automatic Data Processing Planner (ADP Planner),Urban,77,0.80%
6153,Spain,Computer or Data Processing Systems Consultant,Urban,88,0.91%
6159,Spain,Clinical Data Specialist,Urban,8,0.08%
6177,Spain,Data Modeling Specialist,Urban,81,0.84%
6191,Spain,Data Operations Director,Urban,38,0.39%
6214,Spain,Data Warehouse Analyst,Urban,69,0.72%
6216,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
6225,Spain,Computer or Data Processing Systems Consultant,Urban,88,0.91%
6234,Spain,Data Warehouse Architect,Urban,77,0.80%
6241,Spain,Data Entry Representative,Urban,17,0.18%
6256,Spain,Data Warehouse Specialist,Urban,81,0.84%
6257,Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,87,0.90%
6258,Spain,Data Warehousing Specialist,Urban,59,0.61%
6262,Spain,Data Processing Manager,Urban,73,0.76%
6264,Spain,Database Software Technician,Urban,76,0.79%
6294,Spain,Data Coordinator,Urban,88,0.91%
6311,Spain,Automatic Data Processing Planner,Rural,78,0.81%
6323,Spain,Data Administrator,Urban,86,0.89%
6324,Spain,Data Warehousing Manager,Urban,61,0.63%
6334,Spain,Scientific Database Curator,Urban,8,0.08%
6369,Spain,Data Sciences Director,Urban,16,0.17%
6383,Spain,Database Engineer,Urban,77,0.80%
6384,Spain,Oracle Database Administrator (Oracle DBA),Urban,78,0.81%
6416,Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,61,0.63%
6440,Spain,Electronic Data Processing Auditor (EDP Auditor),Urban,65,0.67%
6469,Spain,Data Reviewer,Urban,5,0.05%
6511,Spain,Data Management Associate,Urban,72,0.75%
6512,Spain,Data Communications Software Consultant,Urban,73,0.76%
6548,Spain,Data Processing Systems Analyst,Urban,76,0.79%
6583,Spain,Database Security Administrator,Urban,71,0.74%
6612,Spain,SQL Database Administrator,Urban,65,0.67%
6625,Spain,Database Administration Manager,Urban,65,0.67%
6634,Spain,Database Specialist,Urban,61,0.63%
6664,Spain,Database Developer,Urban,13,0.13%
6682,Spain,Data Processing Manager,Urban,73,0.76%
6683,Spain,Data Processing Systems Project Planner,Urban,65,0.67%
6697,Spain,Data Communications Software Consultant,Urban,73,0.76%
6724,Spain,Data Processing Systems Analyst,Urban,76,0.79%
6743,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
6767,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
6776,Spain,Data Communications Analyst,Urban,69,0.72%
6778,Spain,Data Storage Specialist,Urban,83,0.86%
6789,Spain,Database Manager,Urban,78,0.81%
6804,Spain,Data Management Information Technology Specialist,Urban,61,0.63%
6808,Spain,Database Tester,Urban,77,0.80%
6842,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
6861,Spain,Data Miner,Urban,72,0.75%
6885,Spain,Data Processing Mechanic,Urban,6,0.06%
6886,Spain,Database Architect,Urban,72,0.75%
6898,Spain,Data Architect,Urban,88,0.91%
6905,Spain,Database Technician,Urban,4,0.04%
6911,Spain,Database Marketing Analyst,Urban,61,0.63%
6918,Spain,Database Tester,Urban,77,0.80%
6923,Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,69,0.72%
6928,Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,73,0.76%
6941,Spain,Data Communications Software Consultant,Urban,73,0.76%
6951,Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,88,0.91%
6953,Spain,Clinical Data Manager,Urban,13,0.13%
6969,Spain,Data Security Analyst,Urban,77,0.80%
7015,Spain,Database Design Analyst,Urban,58,0.60%
7048,Spain,Data Security Administrator,Urban,67,0.69%
7063,Spain,Data Warehousing Manager,Urban,61,0.63%
7065,Spain,Data Processing Systems Project Planner,Urban,65,0.67%
7106,Spain,Database Administration Associate,Urban,73,0.76%
7142,Spain,Data Security Administrator,Urban,67,0.69%
7145,Spain,Database Designer,Urban,64,0.66%
7158,Spain,Data Modeling Specialist,Urban,81,0.84%
7175,Spain,Database Security Expert,Urban,62,0.64%
7189,Spain,Data Processing Systems Analyst,Urban,76,0.79%
7214,Spain,Data Processing Clerk,Urban,7,0.07%
7224,Spain,Data Sciences Director,Urban,16,0.17%
7238,Spain,Databases Software Consultant,Urban,44,0.46%
7287,Spain,Database Management System Specialist (DBMS Specialist),Urban,76,0.79%
7288,Spain,Data Storage Specialist,Urban,83,0.86%
7291,Spain,Data Warehousing Specialist,Urban,59,0.61%
7303,Spain,Data Security Analyst,Urban,77,0.80%
7307,Spain,Data Security Analyst,Urban,77,0.80%
7318,Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,64,0.66%
7319,Spain,Director of Data Operations,Urban,78,0.81%
7334,Spain,Database Software Technician,Urban,76,0.79%
7338,Spain,Flight Test Data Acquisition Technician,Urban,13,0.13%
7374,Spain,Data Warehousing Manager,Urban,61,0.63%
7379,Spain,Data Entry Machine Operator,Urban,11,0.11%
7396,Spain,SQL Database Administrator,Urban,65,0.67%
7416,Spain,Clinical Data Abstractor,Urban,11,0.11%
7438,Spain,Data Processing Consultant,Urban,53,0.55%
7448,Spain,Datastage Developer,Urban,10,0.10%
7473,Spain,Database Architect,Urban,72,0.75%
7479,Spain,Database Marketing Analyst,Rural,61,0.63%
7482,Spain,Database Administration Manager,Urban,65,0.67%
7488,Spain,Database Engineer,Urban,77,0.80%
7553,Spain,Database Architect,Urban,72,0.75%
7556,Spain,Database Coordinator,Urban,81,0.84%
